country,track.id,track name,popularity,danceability,energy,acousticness,liveness,tempo
Argentina,4FAKtPVycI4DxoOHC01YqD,Yandel 150,77.0,0.783,0.729,0.0492,0.1,167.968
Argentina,2GVahxIzxivfRZc8lR39Ms,FERNET,76.0,0.71,0.738,0.156,0.0661,98.958
Argentina,5rGorQ0R06XveTJXMd3QRi,Perfecta,75.0,0.649,0.487,0.08,0.232,179.946
Argentina,5q86iSKkBtOoNkdgEDY5WV,VISTA AL MAR,74.0,0.759,0.561,0.803,0.101,104.915
Argentina,12BLBKATlbWXPhuSNL8eAr,CALLEJERO FINO | Mission 10,73.0,0.88,0.531,0.584,0.114,92.957
Argentina,4CVhywni3QwalKLZgwFi58,Milagrosa,72.0,0.899,0.442,0.106,0.215,117.053
Argentina,6nYyGlTP5L2R6SEd1xG8Xs,Rompe,71.0,0.858,0.513,0.0358,0.116,85.993
Argentina,3EcCc1U405tm8yKm1x6Y8W,Te Mentiría,69.0,0.651,0.731,0.116,0.0708,153.104
Argentina,6HT88WDVwEJiHEbPuQ5XcB,Costumbres - Vivo,68.0,0.52,0.801,0.132,0.953,103.681
Australia,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,0.707,0.681,0.0632,0.0322,117.999
Australia,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),95.0,0.715,0.62,0.417,0.0822,97.95
Australia,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),94.0,0.561,0.965,0.00383,0.371,128.04
Australia,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,93.0,0.637,0.643,0.13,0.142,97.008
Australia,0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),92.0,0.801,0.806,0.382,0.114,106.999
Australia,78Sw5GDo6AlGwTwanjXbGh,Here With Me,91.0,0.574,0.469,0.534,0.128,132.023
Australia,1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,90.0,0.551,0.55,0.777,0.202,101.19
Australia,4FyesJzVpA39hbYvcseO2d,Just Wanna Rock,89.0,0.486,0.545,0.0652,0.0642,150.187
Australia,5odlY52u43F5BjByhxg7wg,golden hour,88.0,0.515,0.593,0.653,0.25,94.467
Australia,6dgUya35uo964z7GZXM07g,Nonsense,87.0,0.74,0.697,0.0268,0.224,138.992
Australia,38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),86.0,0.637,0.715,0.148,0.0892,141.872
Australia,4h4QlmocP3IuwYEj2j14p8,Sunroof,85.0,0.768,0.714,0.352,0.15,131.443
Australia,4zN21mbAuaD0WqtmaTZZeP,Ferrari,84.0,0.847,0.69,0.0127,0.0526,125.004
Australia,54ipXppHLA8U4yqpOFTUhr,Bones,83.0,0.772,0.75,0.0201,0.074,114.061
Australia,6UN73IYd0hZxLi8wFPMQij,Players,82.0,0.954,0.516,0.03,0.0504,105.001
Australia,1GfBLbAhZUWdseuDqhocmn,Rumble,81.0,0.81,0.836,0.0515,0.0598,139.979
Australia,40SBS57su9xLiE1WqkXOVr,Afraid To Feel,80.0,0.578,0.912,0.0166,0.273,127.87
Australia,6HMtHNpW6YPi1hrw9tgF8P,About Damn Time,77.0,0.836,0.743,0.0974,0.335,108.965
Australia,48UKTR66uUOT9LaUvooTNx,The Kind of Love We Make,76.0,0.608,0.745,0.0226,0.0942,102.025
Australia,567e29TDzLwZwfDuEpGTwo,STAY (with Justin Bieber),75.0,0.591,0.764,0.0383,0.103,169.928
Australia,1LIvdWNdKmHvU0FJvw2diN,Big City Life,74.0,0.615,0.902,0.0176,0.103,87.03
Australia,0NZPBYD5qbEWRs3PrGiRkT,Unholy (feat. Kim Petras),63.0,0.712,0.463,0.011,0.301,131.199
Australia,7jtQIBanIiJOMS6RyCx6jZ,Another Love,62.0,0.442,0.538,0.717,0.09,122.758
Australia,6x8to58oCuyPyuXIe5Imak,Say Nothing (feat. MAY-A),57.0,0.477,0.824,0.0966,0.12,129.942
Australia,6zJejIfVYLgjud3lTk4DLB,SNAP,36.0,0.565,0.636,0.107,0.447,170.01
Austria,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,0.707,0.681,0.0632,0.0322,117.999
Austria,4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53",97.0,0.778,0.632,0.274,0.0915,122.104
Austria,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),95.0,0.715,0.62,0.417,0.0822,97.95
Austria,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),94.0,0.561,0.965,0.00383,0.371,128.04
Austria,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,93.0,0.637,0.643,0.13,0.142,97.008
Austria,0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),92.0,0.801,0.806,0.382,0.114,106.999
Austria,0QHEIqNKsMoOY5urbzN48u,Made You Look,91.0,0.838,0.525,0.345,0.0771,144.981
Austria,0JXXNGljqupsJaZsgSbMZV,Sure Thing,90.0,0.684,0.607,0.0267,0.191,81.001
Austria,2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,89.0,0.612,0.807,0.0495,0.101,124.053
Austria,6BePGk3eCan4FqaW2X8Qy3,10:35,87.0,0.696,0.793,0.0683,0.18,120.003
Austria,38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),86.0,0.637,0.715,0.148,0.0892,141.872
Austria,1N8TTK1Uoy7UvQNUazfUt5,SPIT IN MY FACE!,85.0,0.73,0.785,0.0464,0.111,94.094
Austria,4zN21mbAuaD0WqtmaTZZeP,Ferrari,84.0,0.847,0.69,0.0127,0.0526,125.004
Austria,7fZBQnc0zXwVybgCIrQQil,Belly Dancer,82.0,0.845,0.797,0.0582,0.167,121.985
Austria,5YdnOm5990Kfq1Jodws98B,Call It Love,81.0,0.616,0.841,0.0559,0.417,110.029
Austria,22skzmqfdWrjJylampe0kt,Can't Hold Us (feat. Ray Dalton),80.0,0.633,0.927,0.0267,0.0986,146.097
Austria,4N5s8lPTsjI9EGP7K4SXzB,Green Green Grass,79.0,0.685,0.738,0.0695,0.128,112.972
Austria,7oQepKHmXDaPC3rgeLRvQu,Komet,78.0,0.55,0.5,0.285,0.116,115.016
Austria,4sx6NRwL6Ol3V6m9exwGlQ,Love Again,77.0,0.662,0.398,0.716,0.111,107.001
Austria,1aOl53hkZGHkl2Snhr7opL,How Do I Say Goodbye,76.0,0.4,0.641,0.214,0.0656,81.552
Austria,6yeZM8gyykjaf8w0GqRfK4,Wildberry Lillet,75.0,0.89,0.521,0.078,0.0958,139.981
Austria,4HkRGYJYn1Y99uXpqTyOI6,Au Revoir,72.0,0.673,0.603,0.473,0.203,119.923
Austria,3kgt8Ys78I6GBZlQrWqZiA,Nachts wach,71.0,0.719,0.685,0.569,0.263,136.172
Austria,5qEGAHerczFt3HmL9lhh4j,Nachts wach (Lila Wolken Bootleg),70.0,0.667,0.849,0.165,0.107,155.002
Austria,0fNYJMvRcSBEC4zK3SClpK,Weisse Orchideen,69.0,0.764,0.674,0.0469,0.205,101.022
Austria,6e180XtptMddkCejgq7o8K,6561,68.0,0.803,0.618,0.0863,0.103,122.429
