country,track.id,track name,popularity,date
Australia,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),92.0,2023-02-28
Australia,78Sw5GDo6AlGwTwanjXbGh,Here With Me,91.0,2023-02-28
Australia,0JXXNGljqupsJaZsgSbMZV,Sure Thing,90.0,2023-02-28
Australia,1bDbXMyjaUIooNwFE9wn0N,Rich Flex,89.0,2023-02-28
Australia,1xzi1Jcr7mEi9K2RfzLOqS,CUFF IT,88.0,2023-02-28
Australia,5odlY52u43F5BjByhxg7wg,golden hour,87.0,2023-02-28
Australia,4sx6NRwL6Ol3V6m9exwGlQ,Love Again,86.0,2023-02-28
Australia,0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat),85.0,2023-02-28
Australia,4h4QlmocP3IuwYEj2j14p8,Sunroof,84.0,2023-02-28
Australia,02MWAaffLxlfxAUY7c5dvx,Heat Waves,83.0,2023-02-28
Australia,3jjujdWJ72nww5eGnfs2E7,Adore You,82.0,2023-02-28
Australia,567e29TDzLwZwfDuEpGTwo,STAY (with Justin Bieber),81.0,2023-02-28
Australia,7yq4Qj7cqayVTp3FF9CWbm,Riptide,80.0,2023-02-28
Australia,5LYMamLv12UPbemOaTPyeV,Music For a Sushi Restaurant,79.0,2023-02-28
Australia,51Zw1cKDgkad0CXv23HCMU,Daylight,78.0,2023-02-28
Australia,3i058E8uxTsYqJ5NWZzqSj,Little Freak,77.0,2023-02-28
Australia,5mHdCZtVyb4DcJw8799hZp,Escapism.,76.0,2023-02-28
Australia,6ex1Pz3pntgy4NPtxHXN2V,Bad Habits,62.0,2023-02-28
Australia,6x8to58oCuyPyuXIe5Imak,Say Nothing (feat. MAY-A),60.0,2023-02-28
Australia,59QDyqLww2pxyg9ijOPO7f,Rhyme Dust,58.0,2023-02-28
Australia,4fYte8ZvTK14NEhAOZocBi,I Ain't Worried,39.0,2023-02-28
Austria,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28
Austria,2dHHgzDwk4BJdRwy9uXhTO,Creepin' (with The Weeknd & 21 Savage),94.0,2023-02-28
Austria,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,92.0,2023-02-28
Austria,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,91.0,2023-02-28
Austria,0QHEIqNKsMoOY5urbzN48u,Made You Look,89.0,2023-02-28
Austria,73vIOb4Q7YN6HeJTbscRx5,Miss You,88.0,2023-02-28
Austria,38T0tPVZHcPZyhtOcCP7pF,STAR WALKIN' (League of Legends Worlds Anthem),85.0,2023-02-28
Austria,02MWAaffLxlfxAUY7c5dvx,Heat Waves,83.0,2023-02-28
Austria,4zN21mbAuaD0WqtmaTZZeP,Ferrari,82.0,2023-02-28
Austria,7fZBQnc0zXwVybgCIrQQil,Belly Dancer,81.0,2023-02-28
Austria,5ZduaRci3iNUiDfJbBfAaf,Give It To Me - Full Vocal Mix,80.0,2023-02-28
Austria,559SdaPI7mqy9IQiscuaMj,Sure Thing - Sped Up,79.0,2023-02-28
Austria,22skzmqfdWrjJylampe0kt,Can't Hold Us (feat. Ray Dalton),78.0,2023-02-28
Austria,5mHdCZtVyb4DcJw8799hZp,Escapism.,76.0,2023-02-28
Austria,4YxZQd3I4rj1nqkXgvpCk4,Zukunft Pink (feat. Inéz),75.0,2023-02-28
Austria,1aOl53hkZGHkl2Snhr7opL,How Do I Say Goodbye,74.0,2023-02-28
Austria,473iuBry5Y4SSx9AGw9LLw,Sturkopf (mit ner Glock),72.0,2023-02-28
Austria,4HkRGYJYn1Y99uXpqTyOI6,Au Revoir,71.0,2023-02-28
Austria,3kgt8Ys78I6GBZlQrWqZiA,Nachts wach,70.0,2023-02-28
Austria,5qEGAHerczFt3HmL9lhh4j,Nachts wach (Lila Wolken Bootleg),69.0,2023-02-28
Austria,7xaqxUl08zOg0YNUHokQpq,Sehnsucht,68.0,2023-02-28
Austria,05Mp2UJulSttxQ4E6hQPH3,Ohne mein Team,67.0,2023-02-28
Austria,35DkXhxqTMiQB582tfjowU,Powerade,65.0,2023-02-28
