country,track.id,track name,popularity,date,danceability,energy,acousticness,liveness,tempo
Canada,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Colombia,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Costa Rica,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Denmark,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Ecuador,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Estonia,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Finland,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
France,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Germany,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Global,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Greece,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Guatemala,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Hong Kong,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Hungary,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Iceland,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Ireland,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Israel,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Italy,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Latvia,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Lithuania,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Luxembourg,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Malaysia,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Mexico,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Morocco,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Netherlands,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
New Zealand,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Nicaragua,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Norway,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Panama,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Peru,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Philippines,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Portugal,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Romania,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
Saudi Arabia,0yLdNVWF3Srea0uzk55zFn,Flowers,100.0,2023-02-28,0.707,0.681,0.0632,0.0322,117.999
